Title,Summary,Start_Date,Frequency,Count,Type,Genres,Title_Card_Img
A Misanthrope Teaches a Class for Demi-Humans,"I'm Rei Hitoma, a self-professed misanthrope thanks to some past trauma. Just when I thought my new teaching job in the mountains would provide a chill, rejuvenating environment, it turns out that this school is actually for demi-humans who want to become full-fledged human beings! There's a mermaid, a werewolf, a rabbit, and a bird...all of whom are now my charges. It's my duty to teach them about humankind—and maybe in the process, I'll learn a few things myself. This isn't an alternate world or a case of reincarnation. It's just the story of a teacher at a somewhat peculiar school, and his students who are striving to become human. ",01/11/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1210/151933.jpg
Blue Miburo Season 2,Second season of Ao no Miburo. ,12/20/25,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1393/151603.jpg
The Daily Life of a Part-time Torturer,"This is a world where killing and torture are legalized. Sero, a part-time worker at a torture company, enjoys torturing people every day with his senior colleague, Siu. With the addition of new part-timers Mike and Hugh, fun torture life continues! The gap between the at-home, easy-going workplace and the gruesome torture is bound to attract a lot of addicts! ",01/05/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1721/153380.jpg
Hell Teacher: Jigoku Sensei Nube Part 2,Second part of Jigoku Sensei Nube (2025). ,01/07/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1361/153968.jpg
The Demon King's Daughter Is Too Kind!!,"Demon King Ahriman has a problem: his daughter, Dou, loves everyone! Consequently, Ahriman had to halt his invasion of the world in the worry that his daughter's behavior is not one befitting someone of her kind. She loves making friends, helping others, and bringing happiness to all creatures including their enemies, the humans. Ahriman, however, congratulates Dou for her good deeds instead of scolding her. With the help of his aide Jahy, who is assigned as Dou's master, the two try to get rid of her kindhearted nature—so that the Demon King's daughter goes from a cute, adorable, and nice little girl to an inhuman, cruel, and twisted little demon. ",01/07/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1160/154083.jpg
Hikuidori: Ushuu Boro Tobi-gumi,"The fire extinguishing samurai who stopped the great fire was called ""The fire-eating bird"". Matsunaga Gengo, once known as the ""Fire-eating Bird"", was the best fire-fighting samurai in Edo. He had resigned from the fire brigade for a reason but suddenly received an invitation to serve in the Shinjo clan. The Shinjo clan's fire-fighting team had no money and no personnel and was looked down upon by those around them. With the encouragement of his wife, Miyuki, Gengo decides to rebuild the collapsed fire-fighting clan as its chairman. Gengo and his friends, all of whom have their own peculiarities, struggle to ""save any life"", despite being ridiculed as ""ragged steeplejacks""(= the 'Boro-Tobi-Gumi'.), In Edo, a mysterious series of suspicious fires called ""foxfires"" continue. ",01/11/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1129/151615.jpg
"Saioshi no Gikei wo Mederu Tame, Nagaiki shimasu!","Alba is reborn as the son of a poor nobleman. He is unable to use magic due to a disease and is destined to have a short life, so he is taken in by the duke's family. There, he meets Orsis, who was his favorite person in a previous life. While this coincidence seems to good to be true, he remembers that he is why his beloved lost his smile, and begins to search for a way to live a long life so that he can continue to love him. ",01/06/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1115/152470.jpg
Yoroi Shin Den Samurai Troopers,Sequel to Yoroiden Samurai Troopers. ,01/06/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1289/153952.jpg
High School! Kimengumi (2026),"Rei Ichidou, Gou Reietsu, Kiyoshi Shusse, Jin Daima, and Dai Monohoshi are five mischievous boys attending Ichiou Junior High. Each with an eccentric personality and a knack for chaos, they've earned a reputation as the infamous ""Kimen-gumi."" One day, new transfer student Yui Kawa and her friend Chie Uru encounter the group and soon find themselves drawn into their antics. Around them are other colorful cliques—from the handsome ""Iro Otoko-gumi"" led by Shou Kireide, to the delinquent ""Ban-gumi"" led by You Nihiruda, the athletic ""Ude-gumi"" led by Kai Undou, and the tough girl squad ""Onna-gumi"" led by Jako Amano. As time passes and a new spring begins, the everyday lives of these eccentric students unfold in a lively and comedic school story. ",01/09/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1501/154507.jpg
Theatre of Darkness: Yamishibai 16,Sixteenth season of Yami Shibai. ,01/11/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1666/154215.jpg
Cardfight!! Vanguard: Divinez Parallactic Clash,"Akina and his friends, having strayed into the Fantasma, find their path blocked by ""Fantôme Fighters"". The only ones who can stand against them are the special ""Mythisch Fighters"" chosen by the cards. What is a Fantôme Fighter— The collective name for those who confront reality and fight to protect the fabricated. What is a Mythisch Fighter— The collective name for those who withstand the Fantôme and fight to protect the real. Will the parallactic be erased, or will it become the verity? —Stand up and fight with your existence on the line. ",01/10/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1801/154108.jpg
Hokuto no Ken: Kenougun Zako-tachi no Banka,"A young man named Nobu, who is looking for a job in the post-apocalyptic world, ends up tricked into joining Raoh's Army. ",01/05/26,Weekly,12,Anime,,https://cdn.myanimelist.net/images/anime/1845/153717.jpg
